Charles,It's strange. - It could be quite. Shall we? NOW PLAYING THE RETURN OF THE JEDI
Jubilee,"I'm just saying, ""The Empire"" is still the best. It's the most complex, the most sophisticated, wasn't afraid to have a dark ending."
Scott,"Yeah, but come on. If it wasn't for the first one you wouldn't have any of the rest of the movies."
Jean,"Well, at least we can all agree the third one is always the worst."
Charles,Hank. You in here? I'd like you to meet the...
Raven,Moira.
Charles,Raven?
Moira,"I'm sorry, have we met?"
Charles,"Hank, Alex, agent MacTaggert, would you give us just one moment please?"
Moira,Of course.
Raven,"Charles, why didn't she recognize me? She knew me in this form."
Charles,"Well. After you left me on the beach in Cuba, I took her memories of that time. Have a sit."
Raven,Lucky girl.
Charles,"It's good to see you, Raven. - Welcome home."
Raven,This isn't my house.
Charles,It was once.
Raven,"No, it was your home. I just lived here. I barely even recognize it now."
Charles,"Yeah, I have plans for this place. I mean to turn it into a real campus. A university. Not just for mutants, even for humans too. Living and working, ... growing together."
Raven,"You know, I really believed that once. I really believed we can change them after DC."
Charles,We did.
Raven,No Charles. They still hate and fear us. It's just harder to see because they're more polite about it. I got sick of living that lie.
Charles,That's why you're not in your natural blue form.
Raven,I'm not going to be the face of a world that doesn't exist.
Charles,Things are better. The world is better.
Raven,"Maybe in Westchester. Out there, mutants are still running, hiding, living in fear. Just because there's not a war doesn't mean there's peace. If you want to teach your kids something, teach them that. Teach them to fight. Otherwise, they might as well live in this house for the rest of their lives."
Charles,You still sound just like him. You sound just like Erik.
Raven,That's why I'm here. He's resurfaced. He had a wife and a daughter. They were killed. Along with a handful of policemen. The whole world will be looking for him. But you can help me find him before they do.
Charles,"Moira, I'm going to have to ask you to keep this a secret."
Moira,I don't even know what this... is.
Raven,It's Cerebro. - The new model.
Hank,Yeah. I based the color on... It doesn't matter.
Moira,What are those?
Charles,Those are all the humans of the world. And these... ... are all the mutants. I'm connected to all of their minds.
Moira,The CIA would kill for this.
Charles,"I know they would. Where are you, Erik?"
Erik,Charles?
Charles,"Hello, old friend. I'm sorry. I am so sorry. I feel your pain. And your loss."
Erik,"You think, because you can see into my head... ... you know how it feels? You are looking in the wrong place, Charles."
Charles,"What happened to them, it was terribly wrong. But, come back to us. I can help you."
Erik,Help me?
Charles,"Think of your wife, think of your daughter. - What would they have wanted?"
Erik,"They would have wanted to live. I tried your way, Charles. I tried to be like them. Live like them. But it always ends the same way. They took everything away from me. Now... We'll take everything from them."
Charles,Hank. He's not alone.
